"filename", "language", "TypeScript", "JSON", "HTML", "CSS", "XML", "JavaScript", "SCSS", "comment", "blank", "total"
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\prod-table\structures\structures.component.css", "CSS", 0, 0, 0, 15, 0, 0, 0, 0, 3, 18
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\prod-table\structures\structures.component.html", "HTML", 0, 0, 210, 0, 0, 0, 0, 2, 10, 222
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\prod-table\structures\structures.component.ts", "TypeScript", 112, 0, 0, 0, 0, 0, 0, 53, 32, 197
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\service\aws.service.ts", "TypeScript", 780, 0, 0, 0, 0, 0, 0, 191, 211, 1182
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\service\cache.service.ts", "TypeScript", 134, 0, 0, 0, 0, 0, 0, 66, 34, 234
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\service\can-deactivate-guard.service.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 0, 0, 4, 16
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\service\cognito-service.ts", "TypeScript", 161, 0, 0, 0, 0, 0, 0, 29, 43, 233
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\service\encrypt.service.ts", "TypeScript", 32, 0, 0, 0, 0, 0, 0, 2, 6, 40
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\service\global.service.ts", "TypeScript", 87, 0, 0, 0, 0, 0, 0, 16, 26, 129
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\service\message.service.ts", "TypeScript", 22, 0, 0, 0, 0, 0, 0, 10, 7, 39
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\service\neural.service.ts", "TypeScript", 211, 0, 0, 0, 0, 0, 0, 65, 70, 346
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\service\socket.service.ts", "TypeScript", 62, 0, 0, 0, 0, 0, 0, 20, 17, 99
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\views\base\base-routing.module.ts", "TypeScript", 117, 0, 0, 0, 0, 0, 0, 0, 4, 121
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\views\base\base.module.ts", "TypeScript", 54, 0, 0, 0, 0, 0, 0, 12, 15, 81
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\views\base\cards.component.html", "HTML", 0, 0, 324, 0, 0, 0, 0, 0, 2, 326
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\views\base\cards.component.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 0, 4, 11
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\views\base\carousels.component.html", "HTML", 0, 0, 135, 0, 0, 0, 0, 0, 3, 138
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\views\base\carousels.component.ts", "TypeScript", 36, 0, 0, 0, 0, 0, 0, 0, 8, 44
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\views\base\collapses.component.html", "HTML", 0, 0, 26, 0, 0, 0, 0, 0, 1, 27
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\views\base\collapses.component.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 0, 2, 7, 21
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\views\base\forms.component.html", "HTML", 0, 0, 1069, 0, 0, 0, 0, 1, 2, 1072
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\views\base\forms.component.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 0, 2, 8, 27
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\views\base\navbars\navbars.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\views\base\navbars\navbars.component.html", "HTML", 0, 0, 47, 0, 0, 0, 0, 0, 2, 49
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\views\base\navbars\navbars.component.spec.ts", "TypeScript", 20, 0, 0, 0, 0, 0, 0, 0, 6, 26
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\views\base\navbars\navbars.component.ts", "TypeScript", 30, 0, 0, 0, 0, 0, 0, 1, 8, 39
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\views\base\paginations.component.html", "HTML", 0, 0, 81, 0, 0, 0, 0, 0, 3, 84
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\views\base\paginations.component.ts", "TypeScript", 24, 0, 0, 0, 0, 0, 0, 0, 8, 32
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\views\base\popovers.component.html", "HTML", 0, 0, 156, 0, 0, 0, 0, 0, 6, 162
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\views\base\popovers.component.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 0, 5, 18
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\views\base\progress.component.html", "HTML", 0, 0, 57, 0, 0, 0, 0, 0, 3, 60
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\views\base\progress.component.ts", "TypeScript", 61, 0, 0, 0, 0, 0, 0, 1, 14, 76
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\views\base\switches.component.html", "HTML", 0, 0, 786, 0, 0, 0, 0, 0, 3, 789
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\views\base\switches.component.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 0, 4, 11
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\views\base\tables.component.html", "HTML", 0, 0, 365, 0, 0, 0, 0, 8, 1, 374
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\views\base\tables.component.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 0, 4, 11
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\views\base\tabs.component.html", "HTML", 0, 0, 65, 0, 0, 0, 0, 4, 1, 70
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\views\base\tabs.component.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 0, 4, 11
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\views\base\tooltips.component.html", "HTML", 0, 0, 152, 0, 0, 0, 0, 0, 8, 160
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\views\base\tooltips.component.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 0, 0, 4, 16
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\views\button-group\button-group.module.ts", "TypeScript", 15, 0, 0, 0, 0, 0, 0, 1, 4, 20
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\views\button-group\button.component.html", "HTML", 0, 0, 14, 0, 0, 0, 0, 34, 9, 57
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\views\button-group\button.component.ts", "TypeScript", 24, 0, 0, 0, 0, 0, 0, 1, 5, 30
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\views\daterange\datepicker.component.css", "CSS", 0, 0, 0, 8, 0, 0, 0, 0, 2, 10
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\views\daterange\datepicker.component.html", "HTML", 0, 0, 7, 0, 0, 0, 0, 4, 3, 14
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\views\daterange\datepicker.component.ts", "TypeScript", 26, 0, 0, 0, 0, 0, 0, 1, 6, 33
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\views\daterange\daterange.component.html", "HTML", 0, 0, 9, 0, 0, 0, 0, 0, 0, 9
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\views\daterange\daterange.component.ts", "TypeScript", 90, 0, 0, 0, 0, 0, 0, 7, 32, 129
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\views\daterange\daterange.module.ts", "TypeScript", 25, 0, 0, 0, 0, 0, 0, 1, 3, 29
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\views\error\404.component.html", "HTML", 0, 0, 22, 0, 0, 0, 0, 0, 1, 23
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\views\error\404.component.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 0, 4, 11
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\views\error\500.component.html", "HTML", 0, 0, 22, 0, 0, 0, 0, 0, 1, 23
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\views\error\500.component.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 0, 4, 11
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\views\icons\coreui-icons.component.html", "HTML", 0, 0, 414, 0, 0, 0, 0, 1, 1, 416
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\views\icons\coreui-icons.component.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 0, 4, 11
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\views\icons\flags.component.html", "HTML", 0, 0, 1010, 0, 0, 0, 0, 0, 1, 1011
